Time,Torque,Angle,Rotating speed,Power
0,0.0,0,10,1.2000000000000002
0.5,0.0,0,10,6.0
1.0,0.0,0,10,1.8
1.5,0.0,0,10,0.0
2.0,0.0,0,8,0.0
2.5,0.0,0,8,0.0
3.0,0.0,0,8,0.0
3.5,0.0,0,9,0.0
4.0,0.0,0,12,0.0
4.5,0.0,0,12,0.0
5.0,0.0,0,14,0.0
5.5,0.0,0,20,0.0
6.0,0.0,0,19,0.0
6.5,0.0,0,19,0.0
7.0,0.0,0,22,0.0
7.5,0.0,0,25,0.0
8.0,0.0,0,26,1.2000000000000002
8.5,0.0,0,30,1.2000000000000002
9.0,0.0,0,33,1.8
9.5,0.0,0,36,1.8
10.0,0.0,0,43,1.8
10.5,0.0,0,48,1.8
11.0,0.0,0,50,1.2000000000000002
11.5,0.0,0,54,1.2000000000000002
12.0,0.0,0,56,1.2000000000000002
12.5,0.0,0,58,1.2000000000000002
13.0,0.0,0,59,1.2000000000000002
13.5,0.0,0,60,1.2000000000000002
14.0,0.0,0,61,0.6000000000000001
14.5,0.0,0,61,0.6000000000000001
15.0,0.0,0,62,0.6000000000000001
15.5,0.0,0,62,0.6000000000000001
16.0,0.0,0,62,0.6000000000000001
16.5,0.0,0,62,0.6000000000000001
17.0,0.0,0,62,1.2000000000000002
17.5,0.0,0,62,1.8
18.0,0.0,0,64,2.4000000000000004
18.5,0.0,0,67,4.2
19.0,0.0,0,70,6.6000000000000005
19.5,0.0,0,73,9.600000000000001
20.0,0.0,0,75,9.600000000000001
20.5,0.0,0,77,9.600000000000001
21.0,0.0,0,80,8.4
21.5,0.0,0,81,6.6000000000000005
22.0,0.0,0,82,6.0
22.5,0.0,0,84,5.4
23.0,0.0,0,84,5.4
23.5,0.0,0,85,5.4
24.0,0.0,0,85,5.4
24.5,0.0,0,86,4.800000000000001
25.0,0.0,0,85,4.800000000000001
25.5,0.0,0,85,4.800000000000001
26.0,0.0,0,85,4.800000000000001
26.5,0.0,0,85,4.800000000000001
27.0,0.0,0,85,4.2
27.5,0.0,0,85,4.2
28.0,0.0,0,85,4.800000000000001
28.5,0.0,0,86,9.600000000000001
29.0,0.0,0,88,12.0
29.5,0.0,0,91,15.0
30.0,0.0,0,95,16.8
30.5,0.0,0,98,16.2
31.0,0.0,0,100,12.0
31.5,0.0,0,102,9.600000000000001
32.0,0.0,0,103,9.600000000000001
32.5,0.0,0,105,9.600000000000001
33.0,0.0,0,106,7.2
33.5,0.0,0,107,6.6000000000000005
34.0,0.0,0,108,6.0
34.5,0.0,0,108,6.0
