Time,Torque,Angle,Rotating speed,Power
0,0.006,0,12,12.600000000000001
0.5,0.006,0,10,13.8
1.0,0.008,0,12,13.8
1.5,0.008,0,11,13.200000000000001
2.0,0.008,0,26,12.600000000000001
2.5,0.01,1,33,12.0
3.0,0.01,1,38,10.8
3.5,0.008,1,44,9.600000000000001
4.0,0.008,1,48,9.600000000000001
4.5,0.008,1,50,9.0
5.0,0.008,1,54,6.0
5.5,0.01,2,55,5.4
6.0,0.008,2,57,4.800000000000001
6.5,0.008,2,57,4.2
7.0,0.008,2,58,3.6
7.5,0.008,2,59,3.6
8.0,0.008,3,59,3.0
8.5,0.006,3,59,3.6
9.0,0.006,3,60,5.4
9.5,0.008,3,62,5.4
10.0,0.008,3,64,4.2
10.5,0.01,4,67,3.0
11.0,0.01,4,69,3.0
11.5,0.008,4,72,2.4000000000000004
12.0,0.01,4,75,2.4000000000000004
12.5,0.008,4,77,1.8
13.0,0.008,5,79,1.8
13.5,0.006,5,79,1.8
14.0,0.008,5,80,1.8
14.5,0.01,5,80,1.2000000000000002
15.0,0.008,6,81,1.2000000000000002
15.5,0.008,6,81,1.2000000000000002
16.0,0.008,6,81,1.2000000000000002
16.5,0.008,6,81,1.2000000000000002
17.0,0.008,7,81,0.0
17.5,0.006,7,81,0.0
18.0,0.008,7,81,0.0
18.5,0.01,7,81,0.0
19.0,0.006,8,81,0.0
19.5,0.008,8,81,0.0
20.0,0.01,8,81,0.0
20.5,0.008,8,80,0.0
21.0,0.006,9,80,0.0
21.5,0.006,9,81,0.0
22.0,0.008,9,81,0.0
22.5,0.008,9,83,0.0
23.0,0.008,10,86,0.0
23.5,0.011,10,89,0.0
24.0,0.01,10,90,0.0
24.5,0.008,10,93,0.6000000000000001
25.0,0.006,11,96,0.6000000000000001
25.5,0.01,11,98,0.6000000000000001
26.0,0.008,11,100,0.6000000000000001
26.5,0.01,12,101,0.6000000000000001
27.0,0.006,12,102,0.6000000000000001
27.5,0.008,12,103,0.6000000000000001
28.0,0.008,13,103,0.0
28.5,0.01,13,103,1.8
29.0,0.008,13,102,3.6
29.5,0.008,13,103,5.4
30.0,0.006,14,105,9.600000000000001
30.5,0.008,14,107,10.8
31.0,0.01,14,110,11.4
31.5,0.01,15,113,11.4
32.0,0.011,15,116,10.8
32.5,0.01,15,118,10.200000000000001
33.0,0.01,16,120,10.200000000000001
33.5,0.008,16,122,9.600000000000001
34.0,0.01,17,124,9.600000000000001
34.5,0.01,17,124,9.600000000000001
35.0,0.008,17,126,9.600000000000001
35.5,0.008,18,126,9.600000000000001
36.0,0.008,18,126,7.800000000000001
36.5,0.006,19,127,6.0
37.0,0.011,19,127,6.0
37.5,0.005,19,127,6.6000000000000005
38.0,0.008,20,126,5.4
38.5,0.006,20,128,5.4
39.0,0.006,20,127,4.800000000000001
39.5,0.011,21,127,4.800000000000001
40.0,0.005,21,127,4.2
40.5,0.008,22,127,4.2
41.0,0.005,22,128,4.2
41.5,0.005,22,128,4.800000000000001
42.0,0.01,23,127,4.2
42.5,0.005,23,127,3.0
43.0,0.008,24,127,2.4000000000000004
43.5,0.006,24,127,2.4000000000000004
44.0,0.008,24,126,2.4000000000000004
44.5,0.006,25,126,1.8
45.0,0.005,25,125,1.8
45.5,0.008,25,124,1.8
46.0,0.008,26,123,1.8
46.5,0.013,26,123,1.2000000000000002
47.0,0.006,27,122,0.6000000000000001
47.5,0.01,27,122,0.0
48.0,0.005,27,122,0.0
