0,0.013,0,8,3.0
0.5,0.013,0,8,3.0
1.0,0.015,0,8,3.0
1.5,0.013,0,9,3.0
2.0,0.015,0,9,3.0
2.5,0.013,0,8,2.4000000000000004
3.0,0.013,0,11,2.4000000000000004
3.5,0.016,0,15,2.4000000000000004
4.0,0.015,1,15,2.4000000000000004
4.5,0.015,1,20,1.8
5.0,0.015,1,23,1.8
5.5,0.015,1,25,1.2000000000000002
6.0,0.015,1,26,1.2000000000000002
6.5,0.015,1,27,1.2000000000000002
7.0,0.015,1,29,0.6000000000000001
7.5,0.015,1,29,0.6000000000000001
8.0,0.015,1,30,2.4000000000000004
8.5,0.015,1,31,4.2
9.0,0.015,2,32,5.4
9.5,0.018,2,34,5.4
10.0,0.015,2,39,6.0
10.5,0.016,2,41,6.0
11.0,0.016,2,45,4.800000000000001
11.5,0.015,2,47,2.4000000000000004
12.0,0.016,2,50,0.6000000000000001
12.5,0.015,3,51,0.0
13.0,0.015,3,52,0.0
13.5,0.015,3,54,0.0
14.0,0.015,3,55,0.0
14.5,0.015,3,56,0.0
15.0,0.013,3,57,0.0
15.5,0.016,4,57,0.0
16.0,0.013,4,57,0.0
16.5,0.013,4,58,0.0
17.0,0.013,4,57,0.0
17.5,0.015,4,57,0.0
18.0,0.013,5,57,0.0
18.5,0.015,5,57,0.0
19.0,0.016,5,57,0.0
19.5,0.015,5,58,0.0
20.0,0.015,5,60,0.6000000000000001
20.5,0.016,5,63,0.6000000000000001
21.0,0.015,6,66,0.0
21.5,0.013,6,68,0.0
22.0,0.015,6,69,0.0
22.5,0.015,6,71,0.0
23.0,0.016,6,73,0.0
23.5,0.016,7,75,0.0
24.0,0.015,7,76,0.0
24.5,0.013,7,78,0.0
25.0,0.016,7,78,0.0
25.5,0.013,8,79,0.0
26.0,0.015,8,79,0.0
26.5,0.015,8,79,0.0
27.0,0.013,8,80,0.0
27.5,0.015,9,80,0.0
28.0,0.013,9,81,0.0
28.5,0.016,9,80,0.0
29.0,0.013,9,81,0.0
29.5,0.013,10,81,0.0
30.0,0.015,10,81,0.0
30.5,0.013,10,81,0.0
31.0,0.015,10,82,0.0
31.5,0.013,11,81,0.0
32.0,0.013,11,82,0.0
32.5,0.016,11,83,0.0
33.0,0.015,11,85,0.0
33.5,0.015,12,88,0.0
34.0,0.015,12,90,0.6000000000000001
34.5,0.013,12,91,3.0
35.0,0.015,12,92,5.4
35.5,0.015,13,94,6.0
36.0,0.016,13,97,6.0
36.5,0.015,13,98,5.4
37.0,0.015,14,99,4.800000000000001
37.5,0.011,14,100,4.800000000000001
38.0,0.016,14,102,6.0
38.5,0.015,15,104,7.800000000000001
39.0,0.016,15,108,9.700000000000001
39.5,0.016,15,112,10.3
40.0,0.016,16,115,9.700000000000001
40.5,0.013,16,117,9.700000000000001
41.0,0.013,16,118,10.3
41.5,0.016,17,121,10.3
42.0,0.016,17,122,9.1
42.5,0.016,17,123,7.800000000000001
43.0,0.013,18,124,6.6000000000000005
43.5,0.013,18,125,6.6000000000000005
44.0,0.015,19,126,5.4
44.5,0.015,19,125,4.2
45.0,0.015,19,126,4.2
45.5,0.013,20,126,4.2
46.0,0.011,20,127,3.6
46.5,0.015,20,127,3.0
47.0,0.013,21,127,2.4000000000000004
47.5,0.015,21,127,2.4000000000000004
48.0,0.015,22,127,2.4000000000000004
48.5,0.013,22,127,1.8
49.0,0.015,22,127,1.2000000000000002
49.5,0.015,23,127,0.6000000000000001
50.0,0.011,23,127,0.6000000000000001
50.5,0.013,24,126,0.0
51.0,0.013,24,125,0.0
51.5,0.013,24,125,0.0
52.0,0.015,25,124,0.0
52.5,0.013,25,123,0.0
53.0,0.013,25,123,0.0
53.5,0.013,26,123,0.0
54.0,0.011,26,122,0.0
54.5,0.016,27,122,0.0
55.0,0.011,27,122,0.0
55.5,0.013,27,122,0.0
56.0,0.013,28,122,0.0
56.5,0.013,28,121,0.0
57.0,0.015,28,121,0.0
57.5,0.011,29,121,0.0
58.0,0.013,29,121,0.0
58.5,0.013,29,123,0.0
59.0,0.013,30,122,0.0
59.5,0.015,30,122,0.0
60.0,0.01,31,121,0.0
60.5,0.011,31,121,0.0
61.0,0.013,31,121,0.0
61.5,0.011,32,119,0.0
62.0,0.015,32,119,1.2000000000000002
